danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.609,0.668,-4.515,0.0308,0.287,0.0104,0.0974,0.212,82.975,0TRmtiR9q6XnYDzXmoMpGC,228434
0.728,0.859,-5.237,0.137,0.0401,0.0,0.111,0.535,65.043,6epn3r7S14KUqlReYr77hA,214240
0.694,0.602,-7.358,0.0276,0.472,0.0982,0.109,0.329,104.997,7jUBj3nZfs0dRqr68b4yxy,164008
0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,4VrWlk8IQxevMvERoX08iC,216120
0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,18n3RlT0UNcy2yHImHy8IT,224840
0.524,0.904,-2.071,0.398,0.0533,0.0,0.776,0.655,161.188,5sN8MGWR2pu2Rn3oAOPYXt,254040
0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,1P17dC1amhFzptugyAO7Il,211853
0.728,0.415,-6.852,0.0639,0.401,0.0,0.0616,0.455,114.145,7vu0JkJh0ldukEYbTVcqd0,176320
0.678,0.918,-4.63,0.0355,0.000417,0.0,0.0744,0.769,130.028,1nZzRJbFvCEct3uzu04ZoL,216160
0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002,76hfruVvmfQbw0eYn1nmeC,219147
0.611,0.701,-5.235,0.0248,0.0109,9.83e-06,0.0994,0.604,142.027,3dNjUFt6EFU4Gq6Q5vfJqf,229656
0.788,0.703,-5.986,0.127,0.0753,6.13e-05,0.333,0.442,104.049,5XsJl0ZlufrT0EVaDDtBLn,183280
0.778,0.877,-3.619,0.0562,0.146,0.0149,0.352,0.739,125.974,5QrvxcbduPMIOZkBjgE6tp,164762
0.718,0.691,-6.44,0.0387,0.0159,0.0,0.0627,0.552,100.008,5gb9UJkh8TfrNMRYOJNbew,213107
0.724,0.695,-5.226,0.0622,0.073,0.0,0.0889,0.235,139.0,4fixebDZAVToLbUCuEloa2,224400
0.584,0.7,-4.275,0.0456,0.117,0.0,0.0939,0.438,124.944,0PDUDa38GO8lMxLCRc4lL1,202747
0.421,0.791,-4.998,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,6kwAbEjseqBob48jCus7Sz,257200
0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,6b4IqYnduSQl3fE5YIbYVs,227741
0.663,0.809,-7.219,0.0366,0.0677,0.0133,0.281,0.385,125.009,06lEEwDNIo9vfel8GcsEHV,181714
0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,6JV2JOEocMgcZxYSZelKcc,236002
0.632,0.639,-5.938,0.0259,0.00143,0.0,0.221,0.733,95.506,79z9QkhHePTFsSeVw9uyj0,196893
0.875,0.634,-3.484,0.0978,0.00426,3.64e-06,0.111,0.531,120.001,4o3cq2szX7THGyZDsWtp59,272080
0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,2bL2gyO6kBdLkNSkxXNh6x,231013
0.429,0.885,-4.516,0.0811,0.271,0.0,0.196,0.493,119.864,0RdGed3unR2QgTjn5cIPzg,156032
0.471,0.646,-4.37,0.309,0.132,0.0,0.249,0.415,126.17,3smNEkvYPv6yg9t5fbYKR7,190341
0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,00Mb3DuaIH1kjrwOku9CGU,204000
0.674,0.694,-7.076,0.109,0.313,7.17e-06,0.0752,0.203,101.993,3tJ4y2Zqx6gM9xOAuFfsSF,199179
0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,0azC730Exh71aQlOt9Zj3y,222160
0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,3dYD57lRAUcMHufyqn9GcI,241688
0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,0.501,92.943,6Bjtr3tPdto5nyuLYf61sN,185352
0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,32OlwWuMpZ6b0aN2RZOeMS,269667
0.862,0.742,-4.722,0.222,0.00376,0.00855,0.103,0.511,127.91,7huo2wvrCgRucUsjdSDLQV,228907
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,2iuZJX9X9P0GKaE93xcPjk,235493
0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051,6ECp64rv50XVz93WvxXMGF,206200
0.566,0.385,-8.306,0.0319,0.0325,0.000126,0.165,0.164,95.14,4TqvGuY25q9nvA8sHkKhFC,125088
0.572,0.572,-8.324,0.3,0.254,0.0,0.191,0.61,94.897,5203pcq3cNteJuOVhIEnt6,207187
0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,30cSNer6TV8x2utjULVeQ5,238920
0.751,0.648,-5.394,0.241,0.159,0.0,0.0508,0.678,90.987,1GH5tpvz5g1ZGKNBPBWkTm,208093
0.588,0.391,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069,13xxBnXOuiBxVxJI458B0i,226973
0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,7qiZfU4dY1lWllzX7mPBI3,233713
